t,x,y,z,dist_to_sep
0.000000000000000000e+00,1.951218868319013477e+00,2.840063575038016645e-03,3.001804783225829089e-03,1.951220935221135155e+00
1.007324297744222191e-01,1.952940258710388344e+00,1.923488389102882834e-01,1.002880327352092399e-02,1.962389800707783571e+00
2.014648595488444383e-01,1.913257437134681771e+00,3.850886882478400386e-01,2.799164937100404385e-02,1.951626838964768185e+00
3.021972893232666713e-01,1.847979677491945250e+00,5.734701605305929650e-01,4.101251808838300705e-02,1.934915221254465800e+00
4.029297190976888765e-01,1.782792695863009369e+00,7.622093439723645059e-01,4.835756712068273178e-02,1.938894757448500261e+00
5.036621488721111373e-01,1.698267621004109884e+00,9.451151564264038685e-01,5.266814488546883027e-02,1.943542016900551728e+00
6.043945786465333425e-01,1.597943264970136390e+00,1.108871791329735013e+00,6.879964468846327952e-02,1.944998541816994386e+00
7.051270084209555478e-01,1.461974657505207054e+00,1.252377103650445633e+00,8.424878782665100319e-02,1.925050209458274431e+00
8.058594381953777530e-01,1.326663558553774713e+00,1.373909656386245182e+00,1.021308934835050281e-01,1.909885845150420369e+00
9.065918679697999583e-01,1.186936160787058769e+00,1.506235402163529580e+00,1.143292811332946718e-01,1.917697196252487579e+00
1.007324297744222275e+00,1.031419284242388601e+00,1.618445030686409991e+00,1.202347704493726688e-01,1.919163895361887917e+00
1.108056727518644369e+00,8.385472597056954358e-01,1.704472818605627049e+00,1.353996850262931817e-01,1.899576030625081735e+00
1.208789157293066685e+00,6.596152231466964055e-01,1.754373704351918306e+00,1.377838747488135673e-01,1.874278351026959388e+00
1.309521587067488779e+00,4.877751412053958902e-01,1.810305119907173577e+00,1.565001672373066977e-01,1.874867786149218007e+00
1.410254016841911096e+00,3.034559796727377967e-01,1.848334801540303829e+00,1.701995575571866870e-01,1.873079568567276754e+00
1.510986446616333190e+00,1.163270553616076036e-01,1.859898150075976142e+00,1.856471043983629610e-01,1.863532428605721991e+00
1.611718876390755506e+00,-7.536616120735284419e-02,1.832797432214908540e+00,1.982945014958453767e-01,1.834346337469752397e+00
1.712451306165177822e+00,-2.608996595818517394e-01,1.791761344542616374e+00,2.053818810780577153e-01,1.810656606915593603e+00
1.813183735939599917e+00,-4.404052485993565913e-01,1.757712975009764866e+00,2.141877466195766244e-01,1.812046270245751600e+00
1.913916165714022233e+00,-5.978779065159977035e-01,1.699130437798671345e+00,2.295487794558340178e-01,1.801250186885169136e+00
2.014648595488444549e+00,-7.655422693661217970e-01,1.610559332861539295e+00,2.397781726815398085e-01,1.783243205750028482e+00
2.115381025262866643e+00,-9.050451150382072818e-01,1.504881364343378936e+00,2.577701213998980223e-01,1.756067931773287460e+00
2.216113455037288738e+00,-1.054330761919886061e+00,1.388294308860547499e+00,2.729220830249715068e-01,1.743265454124859559e+00
2.316845884811710832e+00,-1.185764557806777253e+00,1.267345903088245462e+00,2.771221152101761565e-01,1.735569999920850925e+00
2.417578314586133370e+00,-1.291823288003627335e+00,1.139933551238354381e+00,2.916024717189287241e-01,1.722862707434167140e+00
2.518310744360555464e+00,-1.363865467973086387e+00,9.879700716024297780e-01,3.003360827790590992e-01,1.684106254697593563e+00
2.619043174134977559e+00,-1.438349618447956280e+00,8.355729530580764397e-01,3.121124602107295809e-01,1.663439744857497349e+00
2.719775603909400097e+00,-1.516505146248485314e+00,6.773419528877094864e-01,3.224102427982914465e-01,1.660897341722201714e+00
2.820508033683822191e+00,-1.568061352455951685e+00,5.150619827749127744e-01,3.375800654583567817e-01,1.650486368064278508e+00
2.921240463458244285e+00,-1.576836526970680108e+00,3.497247972097193291e-01,3.559996690691097365e-01,1.615153511766709959e+00
3.021972893232666380e+00,-1.570640169714013767e+00,1.904851165285412762e-01,3.644649126841642550e-01,1.582148893858652539e+00
3.122705323007088918e+00,-1.571202036982827011e+00,2.977466929065963885e-02,3.696128629770175644e-01,1.571484130352690745e+00
3.223437752781511012e+00,-1.562275390447225520e+00,-1.273415935807541699e-01,3.857245168764721899e-01,1.567456626848959145e+00
3.324170182555933106e+00,-1.514404431874457835e+00,-2.834701847580153866e-01,4.001078144542138393e-01,1.540706373365068771e+00
3.424902612330355645e+00,-1.441952024521685916e+00,-4.237353080661560023e-01,4.050224094615233472e-01,1.502922902987411824e+00
3.525635042104777739e+00,-1.371827648188252757e+00,-5.613733507713776216e-01,4.229585355371871525e-01,1.482245301996264475e+00
